log_id,date_time,tag,dates,performance,runtime,model_version,model_version_note,test
c1c414a7,2021-04-18 20:08:05.857987,tag1,"2021-04-17, 2021-04-18",{'rmse': 0.1},009:10:00,1.0,note1,True
e2d4107a,2021-04-18 21:21:31.543847,tag1,"2019-01-01, 2019-01-02",{'rmse': 0.1},009:10:00,1.0,note1,True
53ed34b6,2021-04-18 21:37:32.449882,tag1,"2019-01-01, 2019-01-02",{'rmse': 0.1},009:10:00,1.0,note1,True
98284418,2021-04-18 21:38:50.038123,tag1,"2019-01-01, 2019-01-02",{'rmse': 0.1},009:10:00,1.0,note1,True
23077037,2021-04-18 21:53:47.746915,tag1,"2019-01-01, 2019-01-02",{'rmse': 0.1},009:10:00,1.0,note1,True
13e7bfc0,2021-04-18 21:55:21.915628,tag1,"2019-01-01, 2019-01-02",{'rmse': 0.1},009:10:00,1.0,note1,True
40b08d5e,2021-04-18 21:55:56.116576,united_kingdom,"('2017-12-02', '2019-05-16')",{'rmse': 30278.0},000:00:06,0.1,supervised learing model for time-series,True
2fa99267,2021-04-18 21:56:00.199457,all,"('2017-11-29', '2019-05-30')",{'rmse': 33763.0},000:00:04,0.1,supervised learing model for time-series,True
c19865b8,2021-04-18 21:56:37.786389,tag1,"2019-01-01, 2019-01-02",{'rmse': 0.1},009:10:00,1.0,note1,True
2ef48ce3,2021-04-18 21:57:12.480989,united_kingdom,"('2017-12-03', '2019-05-24')",{'rmse': 37869.0},000:00:07,0.1,supervised learing model for time-series,True
056a69c2,2021-04-18 21:57:17.132929,all,"('2017-12-01', '2019-05-31')",{'rmse': 39940.0},000:00:04,0.1,supervised learing model for time-series,True
9697889f,2021-04-18 22:48:26.228596,tag1,"2019-01-01, 2019-01-02",{'rmse': 0.1},009:10:00,1.0,note1,True
b6cef9a3,2021-04-18 22:49:01.797753,united_kingdom,"('2017-12-01', '2019-05-31')",{'rmse': 60247.0},000:00:07,0.1,supervised learing model for time-series,True
a2023e8a,2021-04-18 22:49:06.276150,all,"('2017-11-29', '2019-05-25')",{'rmse': 40680.0},000:00:04,0.1,supervised learing model for time-series,True
